"ICD10","ICD10Descr"
"E1140","Type 2 diabetes mellitus with diabetic neuropathy, unsp"
"E10331","Type 1 diab w moderate nonprlf diab rtnop w macular edema"
"E1035","Type 1 diabetes w proliferative diabetic retinopathy"
"E1141","Type 2 diabetes mellitus with diabetic mononeuropathy"
"E113","Type 2 diabetes mellitus with ophthalmic complications"
"E1041","Type 1 diabetes mellitus with diabetic mononeuropathy"
"E10349","Type 1 diab w severe nonprlf diab rtnop w/o macular edema"
"E1022","Type 1 diabetes mellitus w diabetic chronic kidney disease"
"E1032","Type 1 diabetes w mild nonproliferative diabetic retinopathy"
"E132","Other specified diabetes mellitus with kidney complications"
"E1131","Type 2 diabetes mellitus with unsp diabetic retinopathy"
"E1134","Type 2 diabetes w severe nonprlf diabetic retinopathy"
"E1121","Type 2 diabetes mellitus with diabetic nephropathy"
"E145",
"E1040","Type 1 diabetes mellitus with diabetic neuropathy, unsp"
"E1144","Type 2 diabetes mellitus with diabetic amyotrophy"
"E1351","Oth diabetes w diabetic peripheral angiopathy w/o gangrene"
"E10329","Type 1 diab w mild nonprlf diabetic rtnop w/o macular edema"
"E1321","Other specified diabetes mellitus with diabetic nephropathy"
"E1049","Type 1 diabetes w oth diabetic neurological complication"
"E125",
"E1132","Type 2 diabetes w mild nonproliferative diabetic retinopathy"
"E134","Oth diabetes mellitus with neurological complications"
"E10311","Type 1 diabetes w unsp diabetic retinopathy w macular edema"
"E13349","Oth diab w severe nonprlf diabetic rtnop w/o macular edema"
"E122",
"E1151","Type 2 diabetes w diabetic peripheral angiopath w/o gangrene"
"E13341","Oth diabetes w severe nonprlf diabetic rtnop w macular edema"
"E10319","Type 1 diabetes w unsp diabetic rtnop w/o macular edema"
"E1122","Type 2 diabetes mellitus w diabetic chronic kidney disease"
"E1336","Other specified diabetes mellitus with diabetic cataract"
"E1339","Oth diabetes mellitus w oth diabetic ophthalmic complication"
"E10359","Type 1 diabetes w prolif diabetic rtnop w/o macular edema"
"E11349","Type 2 diab w severe nonprlf diab rtnop w/o macular edema"
"E137",
"E10339","Type 1 diab w moderate nonprlf diab rtnop w/o macular edema"
"E13319","Oth diabetes w unsp diabetic retinopathy w/o macular edema"
"E10341","Type 1 diab w severe nonprlf diabetic rtnop w macular edema"
"E13351","Oth diabetes w prolif diabetic retinopathy w macular edema"
"E10321","Type 1 diab w mild nonprlf diabetic rtnop w macular edema"
"E135","Oth diabetes mellitus with circulatory complications"
"E115","Type 2 diabetes mellitus with circulatory complications"
"E1142","Type 2 diabetes mellitus with diabetic polyneuropathy"
"E1036","Type 1 diabetes mellitus with diabetic cataract"
"E107",
"E1039","Type 1 diabetes w oth diabetic ophthalmic complication"
"E13359","Oth diabetes w prolif diabetic retinopathy w/o macular edema"
"E142",
"E1159","Type 2 diabetes mellitus with oth circulatory complications"
"E13339","Oth diab w moderate nonprlf diabetic rtnop w/o macular edema"
"E1031","Type 1 diabetes mellitus with unsp diabetic retinopathy"
"E11321","Type 2 diab w mild nonprlf diabetic rtnop w macular edema"
"E1044","Type 1 diabetes mellitus with diabetic amyotrophy"
"E1331","Oth diabetes mellitus with unspecified diabetic retinopathy"
"E1136","Type 2 diabetes mellitus with diabetic cataract"
"E1051","Type 1 diabetes w diabetic peripheral angiopath w/o gangrene"
"E1335","Oth diabetes mellitus w proliferative diabetic retinopathy"
"E147",
"E117",
"E1029","Type 1 diabetes mellitus w oth diabetic kidney complication"
"E11319","Type 2 diabetes w unsp diabetic rtnop w/o macular edema"
"E13311","Oth diabetes w unsp diabetic retinopathy w macular edema"
"E11331","Type 2 diab w moderate nonprlf diab rtnop w macular edema"
"E1352","Oth diabetes w diabetic peripheral angiopathy w gangrene"
"E13329","Oth diabetes w mild nonprlf diabetic rtnop w/o macular edema"
"E13331","Oth diab w moderate nonprlf diabetic rtnop w macular edema"
"E1334","Oth diabetes w severe nonproliferative diabetic retinopathy"
"E1034","Type 1 diabetes w severe nonprlf diabetic retinopathy"
"E1340","Oth diabetes mellitus with diabetic neuropathy, unspecified"
"E103","Type 1 diabetes mellitus with ophthalmic complications"
"E1344","Other specified diabetes mellitus with diabetic amyotrophy"
"E1349","Oth diabetes w oth diabetic neurological complication"
"I22","Subsequent STEMI & NSTEMI mocard infrc"
"I228","Subsequent STEMI of sites"
"I213","ST elevation (STEMI) myocardial infarction of unsp site"
"I2121","STEMI involving left circumflex coronary artery"
"I220","Subsequent STEMI of anterior wall"
"I210","ST elevation (STEMI) myocardial infarction of anterior wall"
"I214","Non-ST elevation (NSTEMI) myocardial infarction"
"I222","Subsequent non-ST elevation (NSTEMI) myocardial infarction"
"I21","STEMI & NSTEMI mocard infrc"
"I2102","STEMI involving left anterior descending coronary artery"
"I2111","STEMI involving right coronary artery"
"I211","ST elevation (STEMI) myocardial infarction of inferior wall"
"I2129","STEMI involving oth sites"
"I212","ST elevation (STEMI) myocardial infarction of other sites"
"I2101","STEMI involving left main coronary artery"
"I2119","STEMI involving oth coronary artery of inferior wall"
"I2109","STEMI involving oth coronary artery of anterior wall"
"I221","Subsequent STEMI of inferior wall"
"I229","Subsequent STEMI of unsp site"
"I252","Old myocardial infarction"
"K731","Chronic lobular hepatitis, not elsewhere classified"
"K742","Hepatic fibrosis with hepatic sclerosis"
"K7681","Hepatopulmonary syndrome"
"K73","Chronic hepatitis, not elsewhere classified"
"K709","Alcoholic liver disease, unspecified"
"K703","Alcoholic cirrhosis of liver"
"K745","Biliary cirrhosis, unspecified"
"K762","Central hemorrhagic necrosis of liver"
"K740","Hepatic fibrosis"
"K7460","Unspecified cirrhosis of liver"
"K746","Other and unspecified cirrhosis of liver"
"K74","Fibrosis and cirrhosis of liver"
"Z944","Liver transplant status"
"K7011","Alcoholic hepatitis with ascites"
"K743","Primary biliary cirrhosis"
"K730","Chronic persistent hepatitis, not elsewhere classified"
"K769","Liver disease, unspecified"
"K7150","Toxic liver disease w chronic active hepatitis w/o ascites"
"B189","Chronic viral hepatitis, unspecified"
"K700","Alcoholic fatty liver"
"K715","Toxic liver disease with chronic active hepatitis"
"K7151","Toxic liver disease w chronic active hepatitis with ascites"
"B18","Chronic viral hepatitis"
"B180","Chronic viral hepatitis B with delta-agent"
"K732","Chronic active hepatitis, not elsewhere classified"
"K764","Peliosis hepatis"
"K717","Toxic liver disease with fibrosis and cirrhosis of liver"
"K760","Fatty (change of) liver, not elsewhere classified"
"K7689","Other specified diseases of liver"
"K7030","Alcoholic cirrhosis of liver without ascites"
"K714","Toxic liver disease with chronic lobular hepatitis"
"B182","Chronic viral hepatitis C"
"K702","Alcoholic fibrosis and sclerosis of liver"
"K739","Chronic hepatitis, unspecified"
"K7031","Alcoholic cirrhosis of liver with ascites"
"B188","Other chronic viral hepatitis"
"K741","Hepatic sclerosis"
"K768","Other specified diseases of liver"
"K744","Secondary biliary cirrhosis"
"K701","Alcoholic hepatitis"
"K763","Infarction of liver"
"K7469","Other cirrhosis of liver"
"K7010","Alcoholic hepatitis without ascites"
"K738","Other chronic hepatitis, not elsewhere classified"
"B181","Chronic viral hepatitis B without delta-agent"
"K713","Toxic liver disease with chronic persistent hepatitis"
"G8254","Quadriplegia, C5-C7 incomplete"
"G8334","Monoplegia, unspecified affecting left nondominant side"
"G8314","Monoplegia of lower limb affecting left nondominant side"
"G8320","Monoplegia of upper limb affecting unspecified side"
"G833","Monoplegia, unspecified"
"G832","Monoplegia of upper limb"
"G830","Diplegia of upper limbs"
"G8321","Monoplegia of upper limb affecting right dominant side"
"G8333","Monoplegia, unspecified affecting right nondominant side"
"G831","Monoplegia of lower limb"
"G801","Spastic diplegic cerebral palsy"
"G8310","Monoplegia of lower limb affecting unspecified side"
"G834","Cauda equina syndrome"
"G8104","Flaccid hemiplegia affecting left nondominant side"
"G810","Flaccid hemiplegia"
"G8330","Monoplegia, unspecified affecting unspecified side"
"G8110","Spastic hemiplegia affecting unspecified side"
"G8252","Quadriplegia, C1-C4 incomplete"
"G8253","Quadriplegia, C5-C7 complete"
"G8324","Monoplegia of upper limb affecting left nondominant side"
"G114","Hereditary spastic paraplegia"
"G811","Spastic hemiplegia"
"G839","Paralytic syndrome, unspecified"
"G8322","Monoplegia of upper limb affecting left dominant side"
"G8312","Monoplegia of lower limb affecting left dominant side"
"G8102","Flaccid hemiplegia affecting left dominant side"
"G802","Spastic hemiplegic cerebral palsy"
"G822","Paraplegia"
"G8112","Spastic hemiplegia affecting left dominant side"
"G8311","Monoplegia of lower limb affecting right dominant side"
"G825","Quadriplegia"
"G82","Paraplegia (paraparesis) and quadriplegia (quadriparesis)"
"G8194","Hemiplegia, unspecified affecting left nondominant side"
"G8331","Monoplegia, unspecified affecting right dominant side"
"G8114","Spastic hemiplegia affecting left nondominant side"
"G8221","Paraplegia, complete"
"G8113","Spastic hemiplegia affecting right nondominant side"
"G8193","Hemiplegia, unspecified affecting right nondominant side"
"G8220","Paraplegia, unspecified"
"G8111","Spastic hemiplegia affecting right dominant side"
"G8251","Quadriplegia, C1-C4 complete"
"G8222","Paraplegia, incomplete"
"G8103","Flaccid hemiplegia affecting right nondominant side"
"G8100","Flaccid hemiplegia affecting unspecified side"
"G8313","Monoplegia of lower limb affecting right nondominant side"
"G8101","Flaccid hemiplegia affecting right dominant side"
"G8323","Monoplegia of upper limb affecting right nondominant side"
"G8250","Quadriplegia, unspecified"
"G8191","Hemiplegia, unspecified affecting right dominant side"
"G8192","Hemiplegia, unspecified affecting left dominant side"
"G81","Hemiplegia and hemiparesis"
"G8332","Monoplegia, unspecified affecting left dominant side"
"G041","Tropical spastic paraplegia"
"G819","Hemiplegia, unspecified"
"G8190","Hemiplegia, unspecified affecting unspecified side"
"F03","Unspecified dementia"
"F051",
"G311","Senile degeneration of brain, not elsewhere classified"
"F0151","Vascular dementia with behavioral disturbance"
"G300","Alzheimer's disease with early onset"
"F0391","Unspecified dementia with behavioral disturbance"
"F028","Dementia in other diseases classified elsewhere"
"G308","Other Alzheimer's disease"
"F0150","Vascular dementia without behavioral disturbance"
"F00",
"F01","Vascular dementia"
"G309","Alzheimer's disease, unspecified"
"F0281","Dementia in oth diseases classd elswhr w behavioral disturb"
"F015","Vascular dementia"
"F02","Dementia in other diseases classified elsewhere"
"F039","Unspecified dementia"
"F0280","Dementia in oth diseases classd elswhr w/o behavrl disturb"
"F0390","Unspecified dementia without behavioral disturbance"
"G30","Alzheimer's disease"
"G301","Alzheimer's disease with late onset"
"I425","Other restrictive cardiomyopathy"
"I5031","Acute diastolic (congestive) heart failure"
"I43","Cardiomyopathy in diseases classified elsewhere"
"I5020","Unspecified systolic (congestive) heart failure"
"I427","Cardiomyopathy due to drug and external agent"
"I5043","Acute on chronic combined systolic and diastolic hrt fail"
"I5030","Unspecified diastolic (congestive) heart failure"
"I50","Heart failure"
"I132","Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD"
"I5040","Unsp combined systolic and diastolic (congestive) hrt fail"
"I429","Cardiomyopathy, unspecified"
"I504","Combined systolic and diastolic (congestive) hrt fail"
"I130","Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny"
"I5042","Chronic combined systolic and diastolic hrt fail"
"I503","Diastolic (congestive) heart failure"
"I501","Left ventricular failure"
"I5023","Acute on chronic systolic (congestive) heart failure"
"I5032","Chronic diastolic (congestive) heart failure"
"I5041","Acute combined systolic and diastolic (congestive) hrt fail"
"I428","Other cardiomyopathies"
"I426","Alcoholic cardiomyopathy"
"I255","Ischemic cardiomyopathy"
"I420","Dilated cardiomyopathy"
"I099","Rheumatic heart disease, unspecified"
"P290","Neonatal cardiac failure"
"I5033","Acute on chronic diastolic (congestive) heart failure"
"I5022","Chronic systolic (congestive) heart failure"
"I509","Heart failure, unspecified"
"I502","Systolic (congestive) heart failure"
"I5021","Acute systolic (congestive) heart failure"
"I110","Hypertensive heart disease with heart failure"
"E1010","Type 1 diabetes mellitus with ketoacidosis without coma"
"E10610","Type 1 diabetes mellitus w diabetic neuropathic arthropathy"
"E13618","Oth diabetes mellitus with other diabetic arthropathy"
"E1100","Type 2 diab w hyprosm w/o nonket hyprgly-hypros coma (NKHHC)"
"E1165","Type 2 diabetes mellitus with hyperglycemia"
"E139","Other specified diabetes mellitus without complications"
"E118","Type 2 diabetes mellitus with unspecified complications"
"E11622","Type 2 diabetes mellitus with other skin ulcer"
"E13641","Oth diabetes mellitus with hypoglycemia with coma"
"E106","Type 1 diabetes mellitus with other specified complications"
"E138","Oth diabetes mellitus with unspecified complications"
"E10621","Type 1 diabetes mellitus with foot ulcer"
"E120",
"E1061","Type 1 diabetes mellitus with diabetic arthropathy"
"E141",
"E11628","Type 2 diabetes mellitus with other skin complications"
"E13620","Other specified diabetes mellitus with diabetic dermatitis"
"E130","Other specified diabetes mellitus with hyperosmolarity"
"E1169","Type 2 diabetes mellitus with other specified complication"
"E140",
"E10641","Type 1 diabetes mellitus with hypoglycemia with coma"
"E10622","Type 1 diabetes mellitus with other skin ulcer"
"E13622","Other specified diabetes mellitus with other skin ulcer"
"E1164","Type 2 diabetes mellitus with hypoglycemia"
"E101","Type 1 diabetes mellitus with ketoacidosis"
"E109","Type 1 diabetes mellitus without complications"
"E11618","Type 2 diabetes mellitus with other diabetic arthropathy"
"E10638","Type 1 diabetes mellitus with other oral complications"
"E11610","Type 2 diabetes mellitus w diabetic neuropathic arthropathy"
"E1300","Oth diab w hyprosm w/o nonket hyprgly-hypros coma (NKHHC)"
"E10630","Type 1 diabetes mellitus with periodontal disease"
"E1311","Oth diabetes mellitus with ketoacidosis with coma"
"E10628","Type 1 diabetes mellitus with other skin complications"
"E11649","Type 2 diabetes mellitus with hypoglycemia without coma"
"E146",
"E1011","Type 1 diabetes mellitus with ketoacidosis with coma"
"E1101","Type 2 diabetes mellitus with hyperosmolarity with coma"
"E136","Oth diabetes mellitus with other specified complications"
"E148",
"E10618","Type 1 diabetes mellitus with other diabetic arthropathy"
"E1161","Type 2 diabetes mellitus with diabetic arthropathy"
"E13628","Oth diabetes mellitus with other skin complications"
"E116","Type 2 diabetes mellitus with other specified complications"
"E119","Type 2 diabetes mellitus without complications"
"E13649","Oth diabetes mellitus with hypoglycemia without coma"
"E11641","Type 2 diabetes mellitus with hypoglycemia with coma"
"E10649","Type 1 diabetes mellitus with hypoglycemia without coma"
"E1363","Other specified diabetes mellitus with oral complications"
"E1362","Other specified diabetes mellitus with skin complications"
"E1361","Other specified diabetes mellitus with diabetic arthropathy"
"E1064","Type 1 diabetes mellitus with hypoglycemia"
"E13610","Oth diabetes mellitus with diabetic neuropathic arthropathy"
"E1065","Type 1 diabetes mellitus with hyperglycemia"
"E1301","Oth diabetes mellitus with hyperosmolarity with coma"
"E1162","Type 2 diabetes mellitus with skin complications"
"E11620","Type 2 diabetes mellitus with diabetic dermatitis"
"E11638","Type 2 diabetes mellitus with other oral complications"
"E1310","Oth diabetes mellitus with ketoacidosis without coma"
"E1369","Oth diabetes mellitus with other specified complication"
"E100",
"E11621","Type 2 diabetes mellitus with foot ulcer"
"E126",
"E11630","Type 2 diabetes mellitus with periodontal disease"
"E1163","Type 2 diabetes mellitus with oral complications"
"E108","Type 1 diabetes mellitus with unspecified complications"
"E1365","Other specified diabetes mellitus with hyperglycemia"
"E110","Type 2 diabetes mellitus with hyperosmolarity"
"E1364","Other specified diabetes mellitus with hypoglycemia"
"E129",
"E1062","Type 1 diabetes mellitus with skin complications"
"E1063","Type 1 diabetes mellitus with oral complications"
"E13621","Other specified diabetes mellitus with foot ulcer"
"E13630","Other specified diabetes mellitus with periodontal disease"
"E128",
"E111",
"E121",
"E1069","Type 1 diabetes mellitus with other specified complication"
"E131","Other specified diabetes mellitus with ketoacidosis"
"E10620","Type 1 diabetes mellitus with diabetic dermatitis"
"E13638","Oth diabetes mellitus with other oral complications"
"E149",
"C7970","Secondary malignant neoplasm of unspecified adrenal gland"
"C7940","Secondary malignant neoplasm of unsp part of nervous system"
"C790","Secondary malignant neoplasm of kidney and renal pelvis"
"C788","Secondary malignant neoplasm of and unsp digestive organs"
"C7952","Secondary malignant neoplasm of bone marrow"
"C786","Secondary malignant neoplasm of retroperiton and peritoneum"
"C7951","Secondary malignant neoplasm of bone"
"C7800","Secondary malignant neoplasm of unspecified lung"
"C7961","Secondary malignant neoplasm of right ovary"
"C7960","Secondary malignant neoplasm of unspecified ovary"
"C778","Sec and unsp malig neoplasm of nodes of multiple regions"
"C795","Secondary malignant neoplasm of bone and bone marrow"
"C7901","Secondary malignant neoplasm of r kidney and renal pelvis"
"C7949","Secondary malignant neoplasm of oth parts of nervous system"
"C796","Secondary malignant neoplasm of ovary"
"C7982","Secondary malignant neoplasm of genital organs"
"C779","Secondary and unsp malignant neoplasm of lymph node, unsp"
"C772","Secondary and unsp malignant neoplasm of intra-abd nodes"
"C7911","Secondary malignant neoplasm of bladder"
"C791","Sec malig neoplm of bladder and oth and unsp urinary organs"
"C792","Secondary malignant neoplasm of skin"
"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"C7932","Secondary malignant neoplasm of cerebral meninges"
"C7962","Secondary malignant neoplasm of left ovary"
"C7801","Secondary malignant neoplasm of right lung"
"C771","Secondary and unsp malignant neoplasm of intrathorac nodes"
"C7981","Secondary malignant neoplasm of breast"
"C7880","Secondary malignant neoplasm of unspecified digestive organ"
"C801","Malignant (primary) neoplasm, unspecified"
"C78","Secondary malignant neoplasm of resp and digestive organs"
"C781","Secondary malignant neoplasm of mediastinum"
"C773","Sec and unsp malig neoplasm of axilla and upper limb nodes"
"C7931","Secondary malignant neoplasm of brain"
"C7919","Secondary malignant neoplasm of other urinary organs"
"C799","Secondary malignant neoplasm of unspecified site"
"C7830","Secondary malignant neoplasm of unsp respiratory organ"
"C7902","Secondary malignant neoplasm of left kidney and renal pelvis"
"C7910","Secondary malignant neoplasm of unspecified urinary organs"
"C785","Secondary malignant neoplasm of large intestine and rectum"
"C784","Secondary malignant neoplasm of small intestine"
"C7839","Secondary malignant neoplasm of other respiratory organs"
"C783","Secondary malignant neoplasm of and unsp respiratory organs"
"C797","Secondary malignant neoplasm of adrenal gland"
"C770","Sec and unsp malig neoplasm of nodes of head, face and neck"
"C782","Secondary malignant neoplasm of pleura"
"C775","Secondary and unsp malignant neoplasm of intrapelv nodes"
"C774","Sec and unsp malig neoplasm of inguinal and lower limb nodes"
"C787","Secondary malig neoplasm of liver and intrahepatic bile duct"
"C7972","Secondary malignant neoplasm of left adrenal gland"
"C802","Malignant neoplasm associated with transplanted organ"
"C794","Secondary malig neoplasm of and unsp parts of nervous sys"
"C7971","Secondary malignant neoplasm of right adrenal gland"
"C780","Secondary malignant neoplasm of lung"
"C7989","Secondary malignant neoplasm of other specified sites"
"C7889","Secondary malignant neoplasm of other digestive organs"
"C7900","Secondary malignant neoplasm of unsp kidney and renal pelvis"
"C79","Secondary malignant neoplasm of other and unspecified sites"
"C7802","Secondary malignant neoplasm of left lung"
"C798","Secondary malignant neoplasm of other specified sites"
"C80","Malignant neoplasm without specification of site"
"C800","Disseminated malignant neoplasm, unspecified"
"C793","Secondary malignant neoplasm of brain and cerebral meninges"
"B24",
"B22",
"B20","Human immunodeficiency virus [HIV] disease"
"B21",
"I70462","Athscl autol vein bypass of the extrm w gangrene, left leg"
"K551","Chronic vascular disorders of intestine"
"I70239","Athscl native arteries of right leg w ulcer of unsp site"
"I706","Athscl nonbiological bypass graft(s) of the extremities"
"I70522","Athscl nonaut bio bypass of the extrm w rest pain, left leg"
"I70269","Athscl native arteries of extrm w gangrene, unsp extremity"
"Z958","Presence of other cardiac and vascular implants and grafts"
"I70592","Oth athscl nonaut bio bypass of the extremities, left leg"
"I70791","Oth athscl type of bypass of the extremities, right leg"
"I70392","Oth athscl unsp type bypass of the extremities, left leg"
"I70492","Oth athscl autologous vein bypass of the extrm, left leg"
"I70641","Athscl nonbiol bypass of the left leg w ulceration of thigh"
"K559","Vascular disorder of intestine, unspecified"
"I771","Stricture of artery"
"I70669","Athscl nonbiol bypass of the extrm w gangrene, unsp extrm"
"I7065","Athscl nonbiological bypass of extremity w ulceration"
"I7069","Oth athscl nonbiological bypass graft(s) of the extremities"
"I70619","Athscl nonbiol bypass of extrm w intrmt claud, unsp extrm"
"I70262","Athscl native arteries of extremities w gangrene, left leg"
"Z959","Presence of cardiac and vascular implant and graft, unsp"
"I7026","Atherosclerosis of native arteries of extremities w gangrene"
"I70698","Oth athscl nonbiol bypass of the extremities, oth extremity"
"I70413","Athscl autol vein bypass of extrm w intrmt claud, bi legs"
"I70668","Athscl nonbiol bypass of the extrm w gangrene, oth extremity"
"I70612","Athscl nonbiol bypass of the extrm w intrmt claud, left leg"
"I70301","Unsp athscl unsp type bypass of the extremities, right leg"
"I70292","Oth athscl native arteries of extremities, left leg"
"I70609","Unsp athscl nonbiol bypass of the extrm, unsp extremity"
"I70223","Athscl native arteries of extrm w rest pain, bilateral legs"
"I70321","Athscl unsp type bypass of the extrm w rest pain, right leg"
"I7030","Unsp athscl unsp type bypass graft(s) of the extremities"
"I70631","Athscl nonbiol bypass of the right leg w ulceration of thigh"
"I70313","Athscl unsp type bypass of the extrm w intrmt claud, bi legs"
"I70319","Athscl unsp type bypass of extrm w intrmt claud, unsp extrm"
"I70303","Unsp athscl unsp type bypass of the extrm, bilateral legs"
"I70735","Athscl type of bypass of the right leg w ulcer oth prt foot"
"I7025","Athscl native arteries of extremities w ulceration"
"I70391","Oth athscl unsp type bypass of the extremities, right leg"
"I70741","Athscl type of bypass of the left leg w ulceration of thigh"
"I70235","Athscl native arteries of right leg w ulcer oth prt foot"
"I7034","Athscl unsp type bypass of the left leg w ulceration"
"I716","Thoracoabdominal aortic aneurysm, without rupture"
"I70422","Athscl autol vein bypass of the extrm w rest pain, left leg"
"I70338","Athscl unsp type bypass of right leg w ulcer oth prt low leg"
"I70402","Unsp athscl autologous vein bypass of the extrm, left leg"
"I70512","Athscl nonaut bio bypass of extrm w intrmt claud, left leg"
"I70633","Athscl nonbiol bypass of the right leg w ulceration of ankle"
"I70593","Oth athscl nonaut bio bypass of the extrm, bilateral legs"
"I70","Atherosclerosis"
"I7076","Athscl type of bypass graft(s) of the extremities w gangrene"
"I70291","Oth athscl native arteries of extremities, right leg"
"I70639","Athscl nonbiol bypass of the right leg w ulcer of unsp site"
"I70398","Oth athscl unsp type bypass of the extrm, oth extremity"
"I70661","Athscl nonbiol bypass of the extrm w gangrene, right leg"
"I70513","Athscl nonaut bio bypass of extrm w intrmt claud, bi legs"
"I70518","Athscl nonaut bio bypass of extrm w intrmt claud, oth extrm"
"Z95810","Presence of automatic (implantable) cardiac defibrillator"
"I70718","Athscl type of bypass of the extrm w intrmt claud, oth extrm"
"I70742","Athscl type of bypass of the left leg w ulceration of calf"
"I70438","Athscl autol vein bypass of r leg w ulcer oth prt low leg"
"I70528","Athscl nonaut bio bypass of the extrm w rest pain, oth extrm"
"Z9582","Presence of other vascular implants and grafts"
"I70443","Athscl autol vein bypass of the left leg w ulcer of ankle"
"I70731","Athscl type of bypass of the right leg w ulceration of thigh"
"I708","Atherosclerosis of other arteries"
"I7066","Athscl nonbiological bypass of the extremities w gangrene"
"I70711","Athscl type of bypass of the extrm w intrmt claud, right leg"
"I709","Other and unspecified atherosclerosis"
"I70334","Athscl unsp type bypass of r leg w ulcer of heel and midft"
"I70561","Athscl nonaut bio bypass of the extrm w gangrene, right leg"
"I70643","Athscl nonbiol bypass of the left leg w ulceration of ankle"
"I70509","Unsp athscl nonaut bio bypass of the extrm, unsp extremity"
"I70219","Athscl native arteries of extrm w intrmt claud, unsp extrm"
"I70799","Oth athscl type of bypass of the extremities, unsp extremity"
"I70335","Athscl unsp type bypass of right leg w ulcer oth prt foot"
"I70322","Athscl unsp type bypass of the extrm w rest pain, left leg"
"Z9581","Presence of other cardiac implants and grafts"
"I70541","Athscl nonaut bio bypass of the left leg w ulcer of thigh"
"I790","Aneurysm of aorta in diseases classified elsewhere"
"I70713","Athscl type of bypass of the extrm w intrmt claud, bi legs"
"I70448","Athscl autol vein bypass of left leg w ulcer oth prt low leg"
"I70368","Athscl unsp type bypass of the extrm w gangrene, oth extrm"
"I70234","Athscl native art of right leg w ulcer of heel and midfoot"
"I70242","Athscl native arteries of left leg w ulceration of calf"
"I70519","Athscl nonaut bio bypass of extrm w intrmt claud, unsp extrm"
"I70732","Athscl type of bypass of the right leg w ulceration of calf"
"I70543","Athscl nonaut bio bypass of the left leg w ulcer of ankle"
"I7049","Oth athscl autologous vein bypass of the extremities"
"I7050","Unsp athscl nonautologous bio bypass of the extremities"
"I70249","Athscl native arteries of left leg w ulceration of unsp site"
"I70433","Athscl autol vein bypass of the right leg w ulcer of ankle"
"I70362","Athscl unsp type bypass of the extrm w gangrene, left leg"
"I70538","Athscl nonaut bio bypass of r leg w ulcer oth prt low leg"
"I70622","Athscl nonbiol bypass of the extrm w rest pain, left leg"
"I70634","Athscl nonbiol bypass of right leg w ulcer of heel and midft"
"I70533","Athscl nonaut bio bypass of the right leg w ulcer of ankle"
"I7036","Athscl unsp type bypass of the extremities w gangrene"
"I704","Athscl autologous vein bypass graft(s) of the extremities"
"I70613","Athscl nonbiol bypass of the extrm w intrmt claud, bi legs"
"I70238","Athscl natv art of right leg w ulcer oth prt lower right leg"
"I70569","Athscl nonaut bio bypass of the extrm w gangrene, unsp extrm"
"I70312","Athscl unsp type bypass of extrm w intrmt claud, left leg"
"I70535","Athscl nonaut bio bypass of right leg w ulcer oth prt foot"
"I705","Athscl nonautologous bio bypass graft(s) of the extremities"
"I70502","Unsp athscl nonaut bio bypass of the extremities, left leg"
"I7059","Oth athscl nonautologous bio bypass of the extremities"
"I70529","Athscl nonaut bio bypass of extrm w rest pain, unsp extrm"
"I70691","Oth athscl nonbiol bypass of the extremities, right leg"
"I70218","Athscl native arteries of extrm w intrmt claud, oth extrm"
"I70693","Oth athscl nonbiol bypass of the extremities, bilateral legs"
"I70721","Athscl type of bypass of the extrm w rest pain, right leg"
"Z95812","Presence of fully implantable artificial heart"
"I70299","Oth athscl native arteries of extremities, unsp extremity"
"I7023","Atherosclerosis of native arteries of right leg w ulceration"
"I70635","Athscl nonbiol bypass of the right leg w ulcer oth prt foot"
"I712","Thoracic aortic aneurysm, without rupture"
"I714","Abdominal aortic aneurysm, without rupture"
"I70229","Athscl native arteries of extrm w rest pain, unsp extremity"
"Z95818","Presence of other cardiac implants and grafts"
"I7055","Athscl nonautologous bio bypass of extremity w ulceration"
"I70341","Athscl unsp type bypass of the left leg w ulcer of thigh"
"I738","Other specified peripheral vascular diseases"
"I7029","Other atherosclerosis of native arteries of extremities"
"I70428","Athscl autol vein bypass of the extrm w rest pain, oth extrm"
"I7381","Erythromelalgia"
"I713","Abdominal aortic aneurysm, ruptured"
"I70768","Athscl type of bypass of the extrm w gangrene, oth extremity"
"I70441","Athscl autol vein bypass of the left leg w ulcer of thigh"
"I7102","Dissection of abdominal aorta"
"I70798","Oth athscl type of bypass of the extremities, oth extremity"
"I70328","Athscl unsp type bypass of the extrm w rest pain, oth extrm"
"I718","Aortic aneurysm of unspecified site, ruptured"
"I70241","Athscl native arteries of left leg w ulceration of thigh"
"I70532","Athscl nonaut bio bypass of the right leg w ulcer of calf"
"I7072","Athscl type of bypass of the extremities w rest pain"
"K558","Other vascular disorders of intestine"
"I7063","Athscl nonbiological bypass of the right leg w ulceration"
"I70208","Unsp athscl native arteries of extremities, oth extremity"
"I7092","Chronic total occlusion of artery of the extremities"
"I70629","Athscl nonbiol bypass of the extrm w rest pain, unsp extrm"
"I70792","Oth athscl type of bypass of the extremities, left leg"
"I70709","Unsp athscl type of bypass of the extrm, unsp extremity"
"I70644","Athscl nonbiol bypass of left leg w ulcer of heel and midft"
"I70244","Athscl native art of left leg w ulcer of heel and midfoot"
